Geo,SFDU,MFDU,GQDU,Year
530330001011,92,10,0,2018
530330001012,17,58,0,2018
530330001013,59,0,0,2018
530330001021,551,0,0,2018
530330001022,346,0,0,2018
530330001023,34,231,0,2018
530330002011,139,60,0,2018
530330002012,323,161,0,2018
530330002013,281,98,0,2018
530330002021,490,13,0,2018
530330002022,363,30,0,2018
530330002023,499,0,0,2018
530330003001,505,0,0,2018
530330003002,496,11,0,2018
530330004021,270,2,0,2018
530330004022,407,76,0,2018
530330004023,313,71,0,2018
530330004024,230,60,0,2018
530330004031,346,30,0,2018
530330004032,106,381,0,2018
530330004041,76,139,0,2018
530330004042,201,102,0,2018
530330004043,0,0,0,2018
530330005001,700,0,0,2018
530330005002,670,0,0,2018
530330006011,285,48,0,2018
530330006012,475,0,0,2018
530330006013,364,15,0,2018
530330006021,434,24,0,2018
530330006022,417,0,0,2018
530330006023,161,70,0,2018
530330007001,351,47,0,2018
530330007002,456,0,0,2018
530330007003,67,192,0,2018
530330007004,193,69,0,2018
530330008001,479,0,0,2018
530330008002,548,0,0,2018
530330009001,453,0,0,2018
530330009002,391,0,0,2018
530330010001,246,2,0,2018
530330010002,350,0,0,2018
530330011001,426,0,0,2018
530330011002,445,9,0,2018
530330012011,86,27,0,2018
530330012012,109,152,0,2018
530330012013,9,27,0,2018
530330012021,369,0,0,2018
530330012022,229,0,0,2018
530330012023,63,301,0,2018
530330013001,418,139,0,2018
530330013002,293,27,0,2018
530330013003,313,28,0,2018
530330014001,336,29,0,2018
530330014002,377,11,0,2018
530330014003,328,23,0,2018
530330014004,575,4,0,2018
530330015001,496,0,0,2018
530330015002,523,2,0,2018
530330016001,572,0,0,2018
530330016002,567,0,0,2018
530330016003,441,68,0,2018
530330017011,233,218,0,2018
530330017012,313,187,0,2018
530330017013,318,100,0,2018
530330017021,224,4,0,2018
530330017022,419,33,0,2018
530330017023,315,0,0,2018
530330017024,464,20,0,2018
530330018001,485,24,0,2018
530330018002,449,58,0,2018
530330018003,472,75,0,2018
530330019001,534,24,0,2018
530330019002,522,0,0,2018
530330019003,0,210,0,2018
530330019004,202,292,0,2018
530330020001,378,148,0,2018
530330020002,424,21,0,2018
530330020003,375,3,0,2018
530330021001,524,0,0,2018
530330021002,393,101,0,2018
530330021003,337,51,0,2018
530330022001,595,0,0,2018
530330022002,542,0,0,2018
530330022003,521,0,0,2018
530330022004,429,84,0,2018
530330024001,579,0,0,2018
530330024002,472,0,0,2018
530330025001,625,0,0,2018
530330025002,477,58,0,2018
530330026001,363,0,0,2018
530330026002,515,0,0,2018
530330026003,369,0,0,2018
530330026004,361,0,0,2018
530330027001,509,39,0,2018
530330027002,534,3,0,2018
530330027003,376,71,0,2018
530330027004,523,10,0,2018
530330028001,427,29,0,2018
530330028002,419,43,0,2018
530330028003,295,59,0,2018
530330028004,389,17,0,2018
530330029001,494,45,0,2018
530330029002,532,20,0,2018
530330029003,526,24,0,2018
530330030001,664,6,0,2018
530330030002,503,2,0,2018
530330030003,603,3,0,2018
530330030004,513,1,0,2018
530330031001,445,0,0,2018
530330031002,479,10,0,2018
530330031003,423,10,0,2018
530330031004,571,0,0,2018
530330031005,533,0,0,2018
530330032011,232,26,0,2018
530330032012,415,280,0,2018
530330032013,170,34,0,2018
530330032021,525,20,0,2018
530330032022,367,120,0,2018
530330032023,484,25,0,2018
530330033011,309,4,0,2018
530330033012,416,49,0,2018
530330033013,329,0,0,2018
530330033021,435,2,0,2018
530330033022,215,23,0,2018
530330033023,236,22,0,2018
530330034001,335,10,0,2018
530330034002,432,11,0,2018
530330034003,310,0,0,2018
530330035001,461,5,0,2018
530330035002,439,3,0,2018
530330035003,271,65,0,2018
530330036011,250,17,0,2018
530330036012,464,15,0,2018
530330036013,112,212,0,2018
530330036021,100,0,0,2018
530330036022,165,72,0,2018
530330036023,93,14,0,2018
530330038001,375,88,0,2018
530330038002,369,0,0,2018
530330039001,607,16,0,2018
530330039002,433,0,0,2018
530330040001,255,554,0,2018
530330040002,354,0,0,2018
530330041011,413,0,0,2018
530330041012,495,0,0,2018
530330041013,351,0,0,2018
530330041021,237,4,0,2018
530330041022,397,44,0,2018
530330041023,449,53,0,2018
530330042011,449,70,0,2018
530330042012,277,22,0,2018
530330042013,466,0,0,2018
530330042021,412,136,0,2018
530330042022,503,0,0,2018
530330042023,515,2,0,2018
530330043011,109,0,0,2018
530330043012,452,0,0,2018
530330043013,353,32,0,2018
530330043021,25,6,0,2018
530330043022,4,0,0,2018
530330043023,47,41,0,2018
530330044011,211,0,0,2018
530330044012,322,0,0,2018
530330044013,83,0,0,2018
530330044021,90,0,0,2018
530330044022,141,9,0,2018
530330044023,37,28,0,2018
530330045001,293,0,0,2018
530330045002,567,0,0,2018
530330046001,382,6,0,2018
530330046002,401,4,0,2018
530330046003,337,3,0,2018
530330047011,78,107,0,2018
530330047012,0,224,0,2018
530330047013,8,21,0,2018
530330047021,223,74,0,2018
530330047022,0,0,0,2018
530330047023,30,90,0,2018
530330047031,340,22,0,2018
530330047032,32,64,0,2018
530330047033,229,5,0,2018
530330048001,387,3,0,2018
530330048002,382,68,0,2018
530330048003,338,134,0,2018
530330048004,376,5,0,2018
530330049011,212,54,0,2018
530330049012,251,66,0,2018
530330049013,177,64,0,2018
530330049021,362,28,0,2018
530330049022,167,348,0,2018
530330050001,361,59,0,2018
530330050002,219,30,0,2018
530330050003,141,89,0,2018
530330051001,342,36,0,2018
530330051002,451,0,0,2018
530330051003,335,12,0,2018
530330052011,235,28,0,2018
530330052012,327,86,0,2018
530330052013,50,202,0,2018
530330052021,37,125,0,2018
530330052022,34,0,0,2018
530330052023,23,38,0,2018
530330053031,0,0,0,2018
530330053032,0,0,0,2018
530330053041,0,0,0,2018
530330053042,0,0,0,2018
530330053051,2,66,0,2018
530330053052,5,20,0,2018
530330053061,5,46,0,2018
530330053062,4,262,0,2018
530330053071,3,0,0,2018
530330053072,3,0,0,2018
530330053073,4,0,0,2018
530330054011,86,83,0,2018
530330054012,154,76,0,2018
530330054013,132,135,0,2018
530330054021,338,5,0,2018
530330054022,160,21,0,2018
530330054023,108,54,0,2018
530330056001,604,0,0,2018
530330056002,547,0,0,2018
530330056003,538,1,0,2018
530330056004,524,0,0,2018
530330056005,574,0,0,2018
530330057001,448,25,0,2018
530330057002,442,0,0,2018
530330057003,445,28,0,2018
530330057004,420,0,0,2018
530330057005,317,103,0,2018
530330058011,369,26,0,2018
530330058012,132,199,0,2018
530330058013,300,214,0,2018
530330058014,220,65,0,2018
530330058031,425,80,0,2018
530330058032,340,112,0,2018
530330058041,70,61,0,2018
530330058042,74,277,0,2018
530330059011,165,139,0,2018
530330059012,111,6,0,2018
530330059013,123,5,0,2018
530330059021,364,83,0,2018
530330059022,471,0,0,2018
530330059023,428,38,0,2018
530330060001,88,312,0,2018
530330060002,436,40,0,2018
530330060003,477,16,0,2018
530330060004,134,68,0,2018
530330061001,248,61,0,2018
530330061002,297,67,0,2018
530330061003,71,151,0,2018
530330061004,47,175,0,2018
530330061005,161,170,0,2018
530330062001,511,14,0,2018
530330062002,552,6,0,2018
530330062003,374,20,0,2018
530330063001,355,115,0,2018
530330063002,548,27,0,2018
530330063003,175,310,0,2018
530330063004,355,234,0,2018
530330064001,388,0,0,2018
530330064002,290,8,0,2018
530330064003,380,2,0,2018
530330065001,433,109,0,2018
530330065002,219,171,0,2018
530330065003,140,313,0,2018
530330066001,23,283,0,2018
530330066002,145,164,0,2018
530330066003,129,108,0,2018
530330067011,0,21,0,2018
530330067012,0,0,0,2018
530330067013,41,344,0,2018
530330067021,116,84,0,2018
530330067022,0,0,0,2018
530330067023,60,193,0,2018
530330067031,261,59,0,2018
530330067032,99,211,0,2018
530330067033,137,130,0,2018
530330068001,361,19,0,2018
530330068002,256,75,0,2018
530330068003,211,244,0,2018
530330069001,351,66,0,2018
530330069002,454,23,0,2018
530330069003,288,145,0,2018
530330070011,148,222,0,2018
530330070012,34,199,0,2018
530330070013,3,101,0,2018
530330070021,61,126,0,2018
530330070022,136,271,0,2018
530330070023,53,104,0,2018
530330071011,0,459,0,2018
530330071012,1,194,0,2018
530330071021,0,271,0,2018
530330071022,0,314,0,2018
530330072011,0,702,0,2018
530330072012,0,226,0,2018
530330072013,0,707,0,2018
530330072021,0,132,0,2018
530330072022,0,51,0,2018
530330072023,0,166,0,2018
530330072031,0,50,0,2018
530330072032,0,492,0,2018
530330073011,0,126,0,2018
530330073012,0,0,0,2018
530330073013,0,0,0,2018
530330073021,0,115,0,2018
530330073022,0,1,0,2018
530330073023,0,367,0,2018
530330073031,0,432,0,2018
530330073032,0,1097,0,2018
530330073033,0,0,0,2018
530330074031,1,0,0,2018
530330074032,7,241,0,2018
530330074041,10,330,0,2018
530330074042,8,166,0,2018
530330074051,3,180,0,2018
530330074052,2,57,0,2018
530330074061,6,244,0,2018
530330074062,2,146,0,2018
530330075011,92,263,0,2018
530330075012,98,59,0,2018
530330075013,49,73,0,2018
530330075021,48,102,0,2018
530330075022,52,97,0,2018
530330075023,46,146,0,2018
530330075031,0,382,0,2018
530330075032,2,302,0,2018
530330076001,193,108,0,2018
530330076002,252,68,0,2018
530330076003,141,92,0,2018
530330077001,506,9,0,2018
530330077002,339,72,0,2018
530330077003,374,0,0,2018
530330077004,364,101,0,2018
530330078001,534,31,0,2018
530330078002,574,4,0,2018
530330078003,401,36,0,2018
530330078004,495,0,0,2018
