Geo,RetEmp,SvcEmp,TotEmp,Year
530330001011,23,19,188.0,2018
530330001012,7,21,61.0,2018
530330001013,25,16,243.0,2018
530330001021,0,0,0.0,2018
530330001022,392,38,726.0,2018
530330001023,338,37,642.0,2018
530330002011,14,22,106.0,2018
530330002012,175,22,328.0,2018
530330002013,10,13,87.0,2018
530330002021,2,6,70.0,2018
530330002022,30,31,5284.0,2018
530330002023,0,0,0.0,2018
530330003001,4,10,356.0,2018
530330003002,78,37,369.0,2018
530330004021,28,14,328.0,2018
530330004022,327,158,676.0,2018
530330004023,5,15,70.0,2018
530330004024,29,6,362.0,2018
530330004031,13,14,169.0,2018
530330004032,7,24,207.0,2018
530330004041,231,51,477.0,2018
530330004042,52,13,120.0,2018
530330004043,206,29,365.0,2018
530330005001,0,0,6.0,2018
530330005002,0,0,0.0,2018
530330006011,8,16,280.0,2018
530330006012,2,6,148.0,2018
530330006013,7,7,190.0,2018
530330006021,408,124,1273.0,2018
530330006022,614,42,1834.0,2018
530330006023,60,37,2290.0,2018
530330007001,0,20,75.0,2018
530330007002,9,19,190.0,2018
530330007003,3,98,336.0,2018
530330007004,1,17,112.0,2018
530330008001,0,2,26.0,2018
530330008002,2,3,96.0,2018
530330009001,1,9,34.0,2018
530330009002,1,4,56.0,2018
530330010001,52,18,593.0,2018
530330010002,33,37,475.0,2018
530330011001,72,12,237.0,2018
530330011002,67,25,215.0,2018
530330012011,802,174,1778.0,2018
530330012012,87,32,708.0,2018
530330012013,1994,231,3611.0,2018
530330012021,236,12,583.0,2018
530330012022,203,19,383.0,2018
530330012023,228,57,634.0,2018
530330013001,2,19,503.0,2018
530330013002,59,19,159.0,2018
530330013003,84,47,1181.0,2018
530330014001,3,13,120.0,2018
530330014002,39,25,265.0,2018
530330014003,325,35,499.0,2018
530330014004,13,4,110.0,2018
530330015001,0,1,4.0,2018
530330015002,0,0,8.0,2018
530330016001,1,43,152.0,2018
530330016002,1,23,197.0,2018
530330016003,187,49,483.0,2018
530330017011,693,160,1294.0,2018
530330017012,125,18,267.0,2018
