Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
530330001011,2018,2,0.5,0.5,0,0,0,0.0
530330001012,2018,2,0.5,0.5,0,0,0,0.0
530330001013,2018,2,0.5,0.5,0,0,0,0.0
530330001021,2018,2,0.5,0.5,0,0,0,0.0
530330001022,2018,2,0.5,0.5,0,0,0,0.0
530330001023,2018,2,0.5,0.5,0,0,0,0.0
530330002011,2018,2,0.5,0.5,0,0,0,0.0
530330002012,2018,2,0.5,0.5,0,0,0,0.0
530330002013,2018,2,0.5,0.5,0,0,0,0.0
530330002021,2018,2,0.5,0.5,0,0,0,0.0
530330002022,2018,2,0.5,0.5,0,0,0,0.0
530330002023,2018,2,0.5,0.5,0,0,0,0.0
530330003001,2018,2,0.5,0.5,0,0,0,0.0
530330003002,2018,2,0.5,0.5,0,0,0,0.0
530330004021,2018,2,0.5,0.5,0,0,0,0.0
530330004022,2018,2,0.5,0.5,0,0,0,0.0
530330004023,2018,2,0.5,0.5,0,0,0,0.0
530330004024,2018,2,0.5,0.5,0,0,0,0.0
530330004031,2018,2,0.5,0.5,0,0,0,0.0
530330004032,2018,2,0.5,0.5,0,0,0,0.0
530330004041,2018,2,0.5,0.5,0,0,0,0.0
530330004042,2018,2,0.5,0.5,0,0,0,0.0
530330004043,2018,2,0.5,0.5,0,0,0,0.0
530330005001,2018,2,0.5,0.5,0,0,0,0.0
530330005002,2018,2,0.5,0.5,0,0,0,0.0
530330006011,2018,2,0.5,0.5,0,0,0,0.0
530330006012,2018,2,0.5,0.5,0,0,0,0.0
530330006013,2018,2,0.5,0.5,0,0,0,0.0
530330006021,2018,2,0.5,0.5,0,0,0,0.0
530330006022,2018,2,0.5,0.5,0,0,0,0.0
530330006023,2018,2,0.5,0.5,0,0,0,0.0
530330007001,2018,2,0.5,0.5,0,0,0,0.0
530330007002,2018,2,0.5,0.5,0,0,0,0.0
530330007003,2018,2,0.5,0.5,0,0,0,0.0
