SERIALNO,AGE,WRKLYR,INCTOT
0000001,68,2,31435
0000001,66,2,27839
0000002,52,1,92800
0000002,51,1,28999
0000002,18,2,290
0000003,40,1,5800
0000003,11,0,NA
0000003,9,0,NA
0000003,48,1,7887
0000003,48,1,4408
0000004,40,1,23490
0000004,17,2,2146
0000005,37,2,7307
0000005,40,1,55679
0000005,13,0,NA
0000005,8,0,NA
0000005,60,2,5568
0000006,34,1,20300
0000006,26,1,11600
0000006,9,0,NA
0000006,1,0,NA
0000007,28,1,21170
0000007,27,1,22620
0000008,36,2,0
0000008,36,1,11484
0000008,15,0,NA
0000008,8,0,NA
0000008,5,0,NA
0000009,48,0,NA
0000009,52,1,26100
0000010,59,1,17980
0000010,75,2,11020
0000011,29,1,46400
0000012,62,2,9976
0000013,41,1,40600
0000013,47,2,0
0000013,10,0,NA
0000013,7,0,NA
0000014,34,1,34742
0000014,32,2,1160
0000015,48,1,26100
0000016,20,2,231
0000016,22,1,12760
0000017,43,2,4930
0000017,65,2,8119
0000018,37,2,1160
0000019,68,2,13223
0000020,52,1,76270
0000020,59,1,37700
0000020,14,0,NA
0000021,61,1,52200
0000021,25,0,NA
0000022,58,1,54519
0000022,54,1,32479
0000023,31,1,69623
0000024,59,1,21170
0000024,58,1,10150
0000024,25,1,12760
0000025,82,2,22040
0000025,59,2,696
0000025,10,0,NA
0000025,8,0,NA
0000026,56,1,43500
0000027,32,2,463
0000027,28,1,9280
0000027,8,0,NA
0000027,1,0,NA
0000028,73,2,95642
0000028,71,2,4553
0000029,44,2,0
0000029,48,1,46487
0000029,7,0,NA
0000029,4,0,NA
0000030,33,1,41760
0000030,41,1,62639
0000031,73,2,18270
0000031,49,1,8352
0000032,66,2,29057
0000033,36,1,42925
0000034,30,1,5220
0000035,33,1,69617
0000035,33,1,16820
0000035,0,0,NA
0000035,63,2,0
0000035,60,2,0
0000036,64,1,72685
0000036,69,2,2610
0000037,85,2,8410
0000037,51,1,60899
0000037,27,1,2900
0000037,47,2,0
0000038,45,1,29579
0000038,37,1,37700
0000039,21,1,10440
0000039,21,1,13919
0000040,41,1,31319
0000040,39,1,30159
0000041,33,1,127019
0000041,27,2,15427
0000041,4,0,NA
0000041,3,0,NA
0000041,0,0,NA
0000042,46,1,23200
0000042,45,1,23200
0000042,18,2,1450
0000042,15,0,NA
0000043,24,1,35380
0000043,24,1,27839
0000044,52,1,71050
0000044,53,1,66700
0000044,26,1,28332
0000044,22,2,829
0000044,20,1,19731
0000045,55,2,0
0000045,54,1,43500
0000045,19,2,4350
0000045,17,2,0
0000046,56,1,13919
0000046,59,1,14499
0000047,37,1,3479
0000047,15,0,NA
0000047,13,0,NA
0000048,61,2,8526
0000049,43,1,151960
0000049,40,1,23200
0000050,51,1,15079
0000050,49,1,63799
0000050,17,2,348
0000051,70,1,31087
0000051,62,2,6177
0000052,70,1,26679
0000053,76,2,16762
0000053,74,2,4176
0000054,59,1,53533
0000054,64,2,2842
0000055,41,1,170520
0000055,41,1,170520
0000055,4,0,NA
0000056,65,2,31331
0000057,57,1,25752
0000058,33,1,66711
0000058,27,2,0
0000058,7,0,NA
0000058,2,0,NA
0000059,55,1,10034
0000059,65,2,5626
0000060,63,1,55099
0000060,63,2,0
0000060,31,1,5104
0000060,14,0,NA
0000061,74,2,35670
0000061,46,1,34800
0000061,47,1,13919
0000062,36,1,28999
0000062,29,1,20300
0000063,55,1,159500
0000063,19,2,5800
0000064,56,1,28883
0000065,31,1,22620
0000065,47,1,20880
0000065,7,0,NA
0000065,1,0,NA
0000066,31,1,16239
0000067,20,1,11600
0000067,21,2,1160
0000068,51,1,46400
0000068,53,1,43500
0000068,22,1,3827
0000069,31,2,0
0000069,33,1,69020
0000069,2,0,NA
0000069,0,0,NA
0000070,31,1,47560
0000071,55,1,228519
0000071,55,1,4640
0000072,37,1,6206
0000072,17,2,0
0000072,11,0,NA
0000073,52,1,58023
0000073,52,1,57999
0000074,86,0,NA
0000074,56,0,NA
0000074,55,0,NA
0000074,50,0,NA
0000074,19,0,NA
0000075,55,1,62639
0000075,55,1,15079
0000075,80,2,8061
0000075,14,0,NA
0000076,39,1,14209
0000076,27,2,0
0000076,5,0,NA
0000076,1,0,NA
0000077,42,1,23258
0000077,43,1,36540
0000078,32,1,14789
0000078,30,1,230259
0000079,74,2,42920
0000079,71,2,5626
0000080,42,1,10788
0000080,43,2,0
0000080,13,0,NA
0000080,6,0,NA
0000080,3,0,NA
0000081,60,1,57999
0000081,58,1,21576
0000082,26,1,12760
0000082,27,1,14499
0000082,8,0,NA
0000082,5,0,NA
0000082,3,0,NA
0000083,51,1,58579
0000083,51,2,145
0000083,10,0,NA
0000083,8,0,NA
0000084,61,1,51620
0000084,62,1,101587
0000085,69,2,9338
0000086,69,2,7075
0000086,37,0,NA
0000087,56,1,49311
0000088,29,1,46400
0000088,25,2,0
0000089,56,1,14499
0000089,54,1,13919
0000090,39,1,46400
0000090,45,1,228519
0000090,8,0,NA
0000090,6,0,NA
0000090,2,0,NA
0000091,38,1,37700
0000091,39,1,37700
0000091,2,0,NA
0000092,45,0,NA
0000092,42,0,NA
0000092,18,0,NA
0000092,16,0,NA
0000092,12,0,NA
0000092,10,0,NA
0000093,46,1,88740
0000093,46,1,57999
0000093,14,0,NA
0000093,12,0,NA
0000094,44,1,58115
0000094,44,1,20300
0000094,14,0,NA
0000094,10,0,NA
0000095,63,2,135720
0000095,65,2,14151
0000096,81,2,12760
0000097,38,1,11136
0000097,17,2,0
0000097,15,0,NA
0000098,57,2,1026
0000099,68,2,8700
0000099,76,2,10208
0000100,58,1,38059
0000100,55,2,0
0000101,36,1,42630
0000101,32,1,10962
0000102,36,1,25752
0000102,34,0,NA
0000103,48,1,41470
0000104,61,2,0
0000104,65,2,57477
0000104,40,1,36134
0000104,13,0,NA
0000105,62,1,32479
0000105,66,2,12528
0000106,62,1,26911
0000106,63,2,2088
0000107,37,0,NA
0000107,36,0,NA
0000107,7,0,NA
0000108,47,1,93090
0000108,50,1,14499
0000108,18,1,231
0000108,15,0,NA
0000109,55,0,NA
0000110,62,1,27433
0000110,65,2,17168
0000111,34,1,6959
0000112,39,2,0
0000112,40,1,84100
0000112,12,0,NA
0000112,9,0,NA
0000113,64,2,4176
0000114,26,0,NA
0000115,32,2,2900
0000115,33,1,58289
0000116,62,1,46400
0000116,55,2,0
0000116,21,2,348
